,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Number,Cellulose,Hemicellulose,Lignin,Temp,Pressure,Equivalance mass ratio,Steam to biomass mass ratio,Superficial gas velocity,H2,CO,CO2,CH4,Lower heating value,Char yield,tar yield,,,,,,
110,0.58,0.31,0.10,784.00,1.00,0.24,0.00,0.07,22.63,32.69,31.33,13.35,5.85,10.14,21.10,,,,,,
111,0.58,0.31,0.10,798.00,1.00,0.30,0.00,0.07,20.53,32.03,34.91,12.53,5.21,6.33,17.50,,,,,,
112,0.58,0.31,0.10,809.00,1.00,0.36,0.00,0.07,17.88,31.57,38.85,11.70,4.56,5.90,14.40,,,,,,
113,0.58,0.31,0.10,785.00,1.00,0.23,0.00,0.07,26.09,32.12,30.11,11.68,6.05,11.63,16.10,,,,,,
114,0.58,0.31,0.10,803.00,1.00,0.29,0.00,0.07,25.19,31.20,32.89,10.71,4.88,8.35,12.00,,,,,,
115,0.58,0.31,0.10,810.00,1.00,0.35,0.00,0.07,21.26,32.59,36.44,9.72,4.88,6.67,10.20,,,,,,
116,0.44,0.08,0.48,800.00,1.00,0.18,0.00,0.19,22.42,37.36,30.11,10.11,6.60,26.50,12.70,,,,,,
117,0.44,0.08,0.48,800.00,1.00,0.21,0.00,0.19,19.77,37.70,32.41,10.11,6.30,20.90,12.70,,,,,,
118,0.44,0.08,0.48,800.00,1.00,0.23,0.00,0.19,17.82,36.39,36.39,9.41,5.50,25.60,14.70,,,,,,
119,0.44,0.08,0.48,800.00,1.00,0.26,0.00,0.19,18.78,36.59,35.61,9.02,5.50,17.50,15.90,,,,,,
120,0.44,0.08,0.48,660.00,1.00,0.20,0.00,0.16,14.21,32.04,43.15,10.59,4.70,38.80,10.90,,,,,,
121,0.44,0.08,0.48,700.00,1.00,0.20,0.00,0.17,16.06,32.38,41.71,9.84,4.80,30.80,10.80,,,,,,
